timestamp_ns,price,size,aggressor
1760000000102006029,21400.00,5,B
1760000000191286039,21400.25,6,B
1760000000283421073,21400.25,8,S
1760000000316020505,21400.25,7,S
1760000000370945000,21400.00,4,S
1760000000415414366,21400.25,6,B
1760000000476926533,21400.50,7,B
1760000000563048128,21400.25,4,S
1760000000984506454,21400.25,4,B
1760000001030738730,21400.50,5,B
1760000001131518575,21400.75,6,B
1760000001246914454,21400.75,2,S
1760000001410413517,21400.75,4,S
1760000001516961834,21400.75,5,B
1760000001547734010,21400.75,8,B
1760000001592675153,21400.50,4,S
1760000001733644619,21400.50,5,B
1760000001782220092,21400.50,7,S
1760000001979389865,21400.50,8,S
1760000002020968000,21400.75,6,B
1760000002229596846,21400.75,8,B
1760000002300456006,21400.75,6,B
1760000002607285760,21400.75,3,S
1760000002818252645,21400.75,2,S
1760000003028633937,21401.00,6,B
1760000003042375426,21401.00,7,B
1760000003248286815,21401.00,7,B
1760000003285642231,21401.00,8,S
1760000003345696505,21401.00,6,B
1760000003346418187,21400.75,1,S
1760000003542769383,21400.50,7,S
1760000003816900470,21400.50,7,B
1760000003838023193,21400.50,6,B
1760000003943997594,21400.25,3,S
1760000003972586807,21400.50,2,B
1760000004031129287,21400.50,6,S
1760000004755098646,21400.50,5,S
1760000004821582052,21400.50,2,B
1760000004869220144,21400.50,9,S
1760000005184617102,21400.50,5,S
1760000005205676597,21400.25,3,S
1760000005210820911,21400.25,6,B
1760000005216677042,21400.50,5,B
1760000005229447496,21400.25,5,S
1760000005326043271,21400.25,7,B
1760000005451988934,21400.25,6,B
1760000005489994580,21400.25,1,B
1760000005567134517,21400.50,3,B
1760000005778554582,21400.50,10,S
1760000005853831710,21400.50,2,S
1760000005884547551,21400.75,7,B
1760000005926536458,21400.75,8,S
1760000005955454278,21400.75,1,S
1760000005996034276,21400.75,7,B
1760000006054344434,21400.75,6,B
1760000006058013752,21400.75,5,B
1760000006062286640,21400.50,4,S
1760000006176878003,21400.50,8,S
1760000006541218998,21400.75,5,B
1760000006543728870,21400.75,9,S
1760000006743286001,21400.50,4,S
1760000006768444640,21400.50,4,S
1760000006793666294,21400.75,5,B
1760000006896243863,21400.75,7,B
1760000007176321517,21400.75,3,B
1760000007187795571,21400.75,6,B
1760000007280989031,21400.50,4,S
1760000007354369356,21400.50,4,S
1760000007410809122,21400.50,6,S
1760000007641114478,21400.50,6,B
1760000007760585533,21400.50,6,S
1760000007844774676,21400.50,5,B
1760000007868370037,21400.50,6,B
1760000007932460846,21400.50,7,S
1760000007941321625,21400.50,7,B
1760000007978488804,21400.25,2,S
1760000008391606400,21400.25,6,B
1760000008518313962,21400.25,7,B
1760000008634668223,21400.25,3,S
1760000008797688350,21400.25,6,S
1760000009047147710,21400.25,9,B
1760000009085317387,21400.25,8,S
1760000009262848439,21400.25,4,S
1760000009446020927,21400.25,9,B
1760000009473365433,21400.25,5,B
1760000009488258838,21400.25,2,B
1760000009541850602,21400.25,8,B
1760000009833842669,21400.25,8,B
1760000009898656176,21400.25,8,B
1760000010036296785,21400.25,5,S
1760000010061068799,21400.25,9,B
1760000010079106512,21400.50,9,B
1760000010081840184,21400.50,5,B
1760000010101896358,21400.50,6,B
1760000010143069913,21400.50,4,S
1760000010145027274,21400.50,4,S
1760000010250050665,21400.50,2,S
1760000010347161176,21400.50,5,B
1760000010642346156,21400.50,2,B
1760000010976792252,21400.75,7,B
1760000011089910125,21400.50,2,S
1760000011209376090,21400.50,5,B
1760000011361993981,21400.50,3,B
1760000011551423464,21400.25,8,S
1760000011773593137,21400.25,7,B
1760000011938722942,21400.25,9,S
1760000012028488149,21400.00,5,S
1760000012167308280,21400.00,3,S
1760000012235490734,21400.25,7,B
1760000012356283379,21400.50,2,B
1760000012383905651,21400.50,7,B
1760000012541376874,21400.75,4,B
1760000012650429389,21400.75,7,B
1760000012693786612,21400.75,2,B
1760000012821542925,21400.75,3,S
1760000012955715054,21400.75,9,B
1760000012988982817,21401.00,6,B
1760000013065368775,21401.00,7,B
1760000013184908871,21401.00,7,B
1760000013248282979,21401.25,3,B
1760000013531412612,21401.50,2,B
1760000013547570148,21401.50,2,S
1760000013629231213,21401.50,7,S
1760000013868377629,21401.50,6,B
1760000013952456416,21401.50,4,B
1760000014060463385,21401.75,2,B
1760000014060731316,21402.00,8,B
1760000014257062090,21402.25,8,B
1760000014346170596,21402.50,4,B
1760000014521403989,21402.75,7,B
1760000014659617381,21402.75,6,B
1760000014729026580,21403.00,4,B
1760000014861653402,21403.00,9,B
1760000015162811681,21403.00,7,S
1760000015166918016,21403.00,6,S
1760000015224167729,21403.00,6,S
1760000015276651411,21403.00,6,B
1760000015385295143,21403.00,4,B
1760000015394513229,21403.00,6,S
1760000015598049942,21403.25,7,B
1760000015695503883,21403.50,4,B
1760000015753149886,21403.25,6,S
1760000015876862462,21403.50,4,B
1760000016170723473,21403.25,7,S
1760000016292941099,21403.25,5,B
1760000016314088585,21403.25,2,S
1760000016346419152,21403.25,3,S
1760000016475900478,21403.25,5,S
1760000016535058394,21403.25,4,S
1760000016930210853,21403.25,4,B
1760000016968509273,21403.25,5,B
1760000017303249644,21403.25,3,B
1760000017510548186,21403.25,9,S
1760000017861060060,21403.25,5,B
1760000017958679900,21403.25,8,B
1760000018266895212,21403.25,8,S
1760000018270551145,21403.25,4,S
1760000018653769461,21403.25,4,S
1760000018671965398,21403.50,5,B
1760000018728297852,21403.50,3,B
1760000018747543449,21403.50,6,S
1760000018773964544,21403.50,4,S
1760000019005439850,21403.50,7,B
1760000019107310604,21403.75,4,B
1760000019844857238,21403.75,8,B
1760000019879845723,21403.75,3,S
1760000019963300444,21403.75,6,B
1760000020112795800,21403.75,7,B
1760000020133884200,21403.75,7,S
1760000020144105629,21403.50,4,S
1760000020230754263,21403.50,3,B
1760000020244929032,21403.50,9,S
1760000020489675062,21403.50,8,S
1760000020694002966,21403.50,2,S
1760000020834306942,21403.50,7,S
1760000020843771299,21403.75,4,B
1760000020889750598,21403.75,3,B
1760000021002093330,21403.75,7,S
1760000021248905256,21403.75,8,S
1760000021301380109,21403.75,6,B
1760000021313723561,21403.75,8,B
1760000021402236772,21403.75,4,S
1760000021497857517,21403.50,5,S
1760000021691270632,21403.50,10,B
1760000021735692345,21403.50,4,B
1760000021844390980,21403.50,1,S
1760000021998940902,21403.25,6,S
1760000022087222408,21403.00,6,S
1760000022087506366,21403.25,2,B
1760000022195698889,21403.50,6,B
1760000022234821308,21403.50,4,S
1760000022294291902,21403.50,8,B
1760000022319336923,21403.50,6,S
1760000022422434349,21403.50,7,B
1760000022538301633,21403.75,6,B
1760000022545095501,21403.75,10,B
1760000022584427237,21403.75,6,S
1760000022596577816,21403.75,10,S
1760000022797191211,21403.75,7,B
1760000022927981131,21403.75,5,B
1760000023235010589,21404.00,4,B
1760000023371498704,21404.25,5,B
1760000023685285041,21404.25,9,S
1760000023690566706,21404.25,5,B
1760000023761375033,21404.25,7,S
1760000023773578839,21404.50,8,B
1760000024140669443,21404.25,3,S
1760000024160565291,21404.25,5,S
1760000024161177742,21404.50,1,B
1760000024298263854,21404.50,4,B
1760000024344475828,21404.25,2,S
1760000024361603296,21404.25,6,S
1760000024470056098,21404.25,3,B
1760000024526252839,21404.25,8,B
1760000024636253934,21404.00,4,S
1760000024782075741,21403.75,1,S
1760000024850868888,21403.50,10,S
1760000025014961843,21403.50,4,B
1760000025016853782,21403.50,6,S
1760000025029090138,21403.50,8,B
1760000025207484694,21403.25,8,S
1760000025281710568,21403.25,4,B
1760000025322217381,21403.25,5,B
1760000025452184693,21403.25,2,S
1760000025468019132,21403.25,7,S
1760000025536164124,21403.25,9,S
1760000025794069496,21403.25,4,S
1760000025852009001,21403.25,7,S
1760000025857790148,21403.00,3,S
1760000025961259989,21402.75,9,S
1760000026009789176,21402.50,10,S
1760000026030644166,21402.50,4,S
1760000026041570074,21402.50,2,S
1760000026070037897,21402.50,9,S
1760000026087324087,21402.50,5,S
1760000026243021410,21402.25,5,S
1760000026356459662,21402.25,4,S
1760000026364961216,21402.25,8,S
1760000026484853097,21402.25,9,S
1760000026641712429,21402.25,5,S
1760000026745565278,21402.50,4,B
1760000027040580514,21402.25,3,S
1760000027048611006,21402.25,5,S
1760000027157061011,21402.25,8,S
1760000027173814485,21402.25,4,S
1760000027226723393,21402.00,8,S
1760000027260260588,21402.00,5,S
1760000027306122015,21402.00,6,S
1760000027456685693,21402.25,6,B
1760000027663044025,21402.25,7,B
1760000027935299850,21402.50,4,B
1760000027994959849,21402.50,2,S
1760000028164624738,21402.50,4,S
1760000028213427832,21402.75,3,B
1760000028396172479,21403.00,9,B
1760000028574023534,21403.00,5,S
1760000028810318092,21403.00,9,B
1760000028865353556,21402.75,1,S
1760000028892592123,21402.75,8,B
1760000028969390788,21402.75,4,S
1760000029025469242,21402.75,5,S
1760000029392984615,21402.75,9,B
1760000029473762324,21402.75,8,S
1760000029475399883,21402.75,5,S
1760000029608273014,21402.75,7,S
1760000029670751407,21402.75,2,S
1760000029796645378,21402.75,3,B
1760000030067506884,21402.75,8,S
1760000030096717906,21402.75,5,B
